Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,src_nunique_dst_port,src_nunique_dst_ip,src_count,dst_nunique_src_ip,dst_nunique_src_port,ratio_fwd_bwd_pkts,ratio_fwd_bwd_bytes,ratio_duration_per_pkt,src_dst_ip_ratio,src_dst_port_ratio,pkt_len_cv,flow_iat_cv,duration_zscore,pkt_len_mean_zscore,Protocol,Src Port,Dst Port,Src IP,Dst IP,Timestamp,Activity
12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,1,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54593,8443,10.0.0.1,10.0.0.3,10/02/2025 01:03:52,Normal
39364,2,6,0.0,3158.0,0.0,0.0,0.0,0.0,1360.0,0.0,526.3333333333334,667.6650857029043,80225.58683060664,203.231378924906,5623.428571428572,13672.823530116751,36559.0,0.0,8.0,8.0,0.0,8.0,8.0,39364.0,7872.8,16082.005524809398,36559.0,0.0,0,0,0,0,40,120,50.807844731226496,152.4235341936795,0.0,1360.0,350.8888888888889,589.8026035133374,347867.11111111107,1,0,0,0,1,0,0,0,3.0,394.75,0.0,526.3333333333334,2,0,6,3158,-1,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54339,853,10.0.0.1,10.0.0.2,06/02/2025 15:01:03,Normal
17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.0588235294,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,58823.52941176471,58823.52941176471,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0.0.2,10.0.0.3,10/02/2025 08:29:14,Normal
6724724,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4461149632312047,3362362.0,4755082.385658738,6724713.0,11.0,6724713.0,6724713.0,0.0,6724713.0,6724713.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.2974099754874698,0.1487049877437349,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0,-1,513,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52230,443,10.0.0.3,10.0.0.1,06/02/2025 00:39:20,Normal
92025118,7,11,221.0,1203.0,145.0,0.0,31.571428571428573,52.90827642520321,1100.0,0.0,109.36363636363636,328.92895060400895,15.47403612131201,0.1955987711963596,5413242.235294118,14910379.55943494,45013757.0,18.0,46961383.0,7826897.166666666,18241258.34174304,45031421.0,134.0,92025118.0,9202511.8,18893543.67508089,45042601.0,21.0,0,0,0,0,140,256,0.0760661887985843,0.1195325823977753,0.0,1100.0,75.0,250.59994679435457,62800.333333333336,0,0,0,0,1,0,0,0,1.0,79.16666666666667,31.571428571428573,109.36363636363636,7,221,11,1203,-1,501,5,0,20384.5,3847.367996436005,23105.0,17664.0,45010667.0,4369.919907732864,45013757.0,45007577.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50043,443,10.0.0.1,10.0.0.3,10/02/2025 05:41:26,Normal
8183,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.6137113528046,4091.5,5674.531919022043,8104.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,79.0,79.0,0,0,0,0,20,40,122.20457045093488,244.40914090186976,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,1,0,2,0,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,443,54848,10.0.0.2,10.0.0.1,10/02/2025 02:44:29,Normal
7144688,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8397847463738094,1428937.6,1631135.2711624808,3936941.0,5.0,0.0,0.0,0.0,0.0,0.0,7144688.0,1786172.0,1642161.3136365947,3936941.0,57961.0,0,0,0,0,32,160,0.1399641243956349,0.6998206219781745,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1,0,5,0,-1,42340,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55980,853,10.0.0.1,10.0.0.3,09/02/2025 09:33:43,Normal
121998,1,2,0.0,272.0,0.0,0.0,0.0,0.0,171.0,101.0,136.0,49.49747468305833,2229.5447466351907,24.59056705847637,60999.0,29313.81872086952,81727.0,40271.0,0.0,0.0,0.0,0.0,0.0,81727.0,81727.0,0.0,81727.0,81727.0,0,1,0,0,20,40,8.19685568615879,16.39371137231758,0.0,171.0,93.25,70.38169743145822,4953.583333333333,0,0,0,1,1,0,0,0,2.0,124.33333333333331,0.0,136.0,1,0,2,272,-1,7485,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49672,443,10.0.0.3,10.0.0.1,15/02/2025 05:56:47,XLoader-infection-traffic
136716,2,5,444.0,392.0,444.0,0.0,222.0,313.9554108468271,392.0,0.0,78.4,175.3077294359835,6114.865853301735,51.201029872143714,22786.0,22014.495742578343,54658.0,259.0,10222.0,10222.0,0.0,10222.0,10222.0,136716.0,34179.0,23046.4668297189,54658.0,1676.0,0,0,0,0,40,124,14.628865677755346,36.57216419438837,0.0,444.0,104.5,193.9948452923428,37634.0,0,1,0,0,0,0,0,0,2.0,119.42857142857144,222.0,78.4,2,444,5,392,-1,261,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59187,80,10.0.0.3,10.0.0.1,15/02/2025 03:59:40,XLoader-infection-traffic
4745,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.2444678609062,2372.5,3341.079541106437,4735.0,10.0,0.0,0.0,0.0,0.0,0.0,4745.0,4745.0,0.0,4745.0,4745.0,0,0,0,0,20,40,210.7481559536354,421.4963119072708,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,1,0,2,0,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53286,443,10.0.0.1,10.0.0.3,09/02/2025 08:49:06,Normal
178,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16853.932584269663,89.0,118.79393923933998,173.0,5.0,173.0,173.0,0.0,173.0,173.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,11235.955056179777,5617.977528089888,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0,-1,1030,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51280,443,10.0.0.2,10.0.0.1,05/02/2025 17:29:29,Normal
471966,2,5,438.0,295.0,438.0,0.0,219.0,309.7127701597078,295.0,0.0,59.0,131.9280106724876,1553.0779759558952,14.831576850874852,78661.0,109352.37791287394,222354.0,240.0,10324.0,10324.0,0.0,10324.0,10324.0,471966.0,117991.5,123746.61924136218,232939.0,240.0,0,0,0,0,40,120,4.237593385964243,10.593983464910607,0.0,438.0,91.625,173.90797032585118,30243.982142857138,0,1,0,0,0,0,0,0,2.0,104.71428571428572,219.0,59.0,2,438,5,295,-1,63802,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58389,80,10.0.0.3,10.0.0.1,14/02/2025 08:06:29,XLoader-infection-traffic
