Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,src_nunique_dst_port,src_nunique_dst_ip,src_count,dst_nunique_src_ip,dst_nunique_src_port,ratio_fwd_bwd_pkts,ratio_fwd_bwd_bytes,ratio_duration_per_pkt,src_dst_ip_ratio,src_dst_port_ratio,pkt_len_cv,flow_iat_cv,duration_zscore,pkt_len_mean_zscore,Protocol,Src Port,Dst Port,Src IP,Dst IP,Timestamp,Activity
264110,8,5,208.0,120.0,72.0,0.0,26.0,31.64084159978772,60.0,0.0,24.0,32.863353450309965,1241.9067812653818,49.221915111127934,22009.166666666668,26208.28362051459,59739.0,7.0,211447.0,30206.71428571429,40615.869315306976,100473.0,8.0,256796.0,64199.0,77034.8905237101,154088.0,7.0,0,0,0,0,192,116,30.29040929915565,18.931505811972283,0.0,72.0,23.42857142857143,30.295250416561963,917.8021978021976,1,4,0,0,11,0,0,0,0.0,25.23076923076923,26.0,24.0,0,0,0,0,16383,16383,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38228,6071,175.45.176.2,149.171.126.16,18/02/2015 06:59:47 AM,Generic
1693072,9,7,424.0,766.0,212.0,0.0,47.11111111111111,93.48321299094886,383.0,0.0,109.42857142857142,186.88486396964407,702.8643790695257,9.450277365640682,112871.46666666667,170105.7772349171,558501.0,5.0,1691315.0,211414.375,274381.3085938917,673842.0,5.0,1615653.0,269275.5,387248.6655490242,877485.0,5.0,0,0,0,0,212,156,5.315781018172884,4.134496347467798,0.0,383.0,70.00000000000001,136.92287975353133,18747.875,2,4,0,2,14,0,0,0,0.0,74.375,47.11111111111112,109.42857142857144,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51615,80,175.45.176.3,149.171.126.16,18/02/2015 12:14:33 AM,Analysis
319,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9404.388714733544,159.5,218.4959953866432,314.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,32,64,3134.796238244514,6269.592476489028,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,10136,10136,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41753,6881,59.166.0.3,149.171.126.7,18/02/2015 03:53:57 AM,Normal
5164,11,5,8192.0,0.0,1448.0,0.0,744.7272727272729,718.7496213437738,0.0,0.0,0.0,0.0,1586367.1572424476,3098.3733539891555,344.2666666666667,504.34178698104927,1393.0,2.0,4807.0,480.69999999999993,586.3431020599912,1393.0,2.0,4621.0,1155.25,1924.5907573646232,4011.0,3.0,0,0,0,0,360,168,2130.1316808675447,968.2416731216113,0.0,1448.0,481.88235294117646,676.3521533152073,457452.2352941177,2,4,0,4,14,0,0,0,0.0,512.0,744.7272727272727,0.0,0,0,0,0,5792,10136,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61054,34463,59.166.0.6,149.171.126.0,22/01/2015 03:50:21 PM,Normal
1034,2,2,90.0,122.0,45.0,45.0,45.0,0.0,61.0,61.0,61.0,0.0,205029.01353965185,3868.471953578337,344.66666666666663,586.609182789814,1022.0,1.0,11.0,11.0,0.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,1934.2359767891685,1934.2359767891685,45.0,61.0,51.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,64.25,45.0,61.0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39504,53,59.166.0.3,149.171.126.3,22/01/2015 06:12:09 PM,Normal
117,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25641.02564102564,58.5,78.48885271170677,114.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,8547.008547008547,17094.017094017094,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,10136,5792,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47327,63254,149.171.126.1,59.166.0.1,18/02/2015 03:59:15 AM,Normal
4847,4,4,456.0,208.0,114.0,114.0,114.0,0.0,52.0,52.0,52.0,0.0,136991.9537858469,1650.5054672993606,692.4285714285714,912.6998150437812,2151.0,4.0,3796.0,1265.3333333333337,2179.4993308861863,3782.0,4.0,3213.0,1071.0,1842.9020592532847,3199.0,7.0,0,0,0,0,32,32,825.2527336496803,825.2527336496803,52.0,114.0,86.44444444444444,32.676869155073256,1067.7777777777778,0,0,0,0,0,0,0,0,1.0,97.25,114.0,52.0,0,0,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1288,111,59.166.0.9,149.171.126.0,22/01/2015 03:51:49 PM,Normal
334,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8982.035928143712,167.0,233.3452377915607,332.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,2994.011976047904,5988.023952095808,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,65160,60816,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20711,5190,59.166.0.2,149.171.126.2,18/02/2015 02:43:23 AM,Normal
1231584,12,15,948.0,9224.0,241.0,0.0,79.0,116.7156607081734,1448.0,0.0,614.9333333333334,676.0667197280233,8259.282355080937,21.922986982617505,47368.61538461538,201148.2389435368,1025433.0,4.0,1214716.0,110428.72727272728,305878.8559332243,1025433.0,4.0,1231079.0,87934.21428571429,272396.9678034045,1026812.0,4.0,0,0,0,0,392,488,9.743549770052224,12.17943721256528,0.0,1448.0,363.28571428571433,564.3898611278514,318535.91534391535,1,4,0,10,25,0,0,0,1.0,376.7407407407408,79.0,614.9333333333333,12,948,15,9224,5792,8688,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37232,80,59.166.0.2,149.171.126.6,22/01/2015 05:11:34 PM,Normal
214609,5,15,0.0,15996.0,0.0,0.0,0.0,0.0,1460.0,0.0,1066.4,611.3377369109718,74535.55069917851,93.19273655811266,11295.210526315794,36033.39375508185,156714.0,1.0,213711.0,53427.75,91370.48070857824,189403.0,3.0,200859.0,14347.07142857143,44796.66717936861,167268.0,1.0,0,0,0,0,132,316,23.298184139528164,69.8945524185845,0.0,1460.0,761.7142857142858,710.8454925549674,505301.3142857144,2,4,0,0,18,0,0,0,3.0,799.8,0.0,1066.4,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47368,49086,175.45.176.0,149.171.126.14,17/02/2015 08:39:42 PM,DoS
