id,expiration_id,Src IP,src_mac,src_oui,Src Port,Dst IP,dst_mac,dst_oui,Dst Port,Protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Activity,Stage,DefenderResponse,Signature,source_file,Timestamp
205067,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,54456,77.238.180.76,fa:16:3e:b5:c4:4c,fa:16:3e,443,6,4,0,0,1625007177458,1625007349028,171570,39,10044,1625007177458,1625007349028,171570,22,2764,1625007177601,1625007349028,171427,17,7280,54,257.5384615384615,673.5750591611053,4162,54,125.63636363636364,136.7164411524279,583,54,428.2352941176471,999.065596533316,4162,0,4514.999999999999,15534.848072918146,58374,0,8170.0,20399.36128166762,58414,0,10714.187499999998,22972.70807202538,58518,2,0,0,0,34,18,4,2,1,0,0,0,19,9,2,1,1,0,0,0,15,9,2,1,TLS,Web,0,dms-b9ldweyc0qreport.wc.yahoodns.net,1fd36067223570569bbf156fece40978,f4febc55ea12b31ae17cfb7e614afda8,,,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-29 22:52:57.458
94531,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,59071,142.250.188.226,fa:16:3e:b5:c4:4c,fa:16:3e,443,17,4,0,0,1623308733121,1623308733293,172,19,9279,1623308733121,1623308733278,157,11,5538,1623308733160,1623308733293,133,8,3741,67,488.3684210526316,550.4283393187038,1392,75,503.4545454545454,601.9802926402763,1392,67,467.625,510.42501548079656,1392,0,9.555555555555555,13.34264380813824,39,0,15.7,15.499462356266855,41,0,19.0,25.22564832335005,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,0,securepubads.g.doubleclick.net,9186382ceb3697c70e43806a188243c2,,Chrome/91.0.4472.77 Windows NT 10.0; Win64; x64,,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-10 07:05:33.121
108374,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,47408,142.250.188.227,fa:16:3e:b5:c4:4c,fa:16:3e,80,6,4,0,0,1624986022973,1624986145614,122641,48,8560,1624986022973,1624986145614,122641,25,3526,1624986022987,1624986145613,122626,23,5034,66,178.33333333333331,233.0887269044324,768,66,141.03999999999996,152.36673959015246,440,66,218.8695652173913,295.71090064266025,768,0,2609.382978723404,4297.283032200045,10226,0,5110.041666666666,4871.233568250374,10240,14,5573.909090909091,4827.406450565462,10240,2,0,0,0,47,10,0,2,1,0,0,0,24,5,0,1,1,0,0,0,23,5,0,1,HTTP.Google,Web,0,ocsp.pki.goog,,,Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,application/ocsp-response,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-29 17:00:22.973
13616,0,10.1.4.10,fa:16:3e:51:88:60,fa:16:3e,50574,35.232.111.17,fa:16:3e:6f:d7:ed,fa:16:3e,80,6,4,0,0,1625013080895,1625013081124,229,10,911,1625013080895,1625013081048,153,5,425,1625013080971,1625013081124,153,5,486,66,91.09999999999998,50.88210774809637,214,66,85.0,38.17066936798464,153,66,97.2,65.38501357344815,214,0,25.444444444444446,37.91804026815967,76,0,38.25,44.16918231829368,77,0,38.25,43.5918570377542,76,2,0,0,0,9,2,0,2,1,0,0,0,4,1,0,1,1,0,0,0,5,1,0,1,HTTP.UbuntuONE,Cloud,0,connectivity-check.ubuntu.com,,,,,Normal,Benign,Benign,,net1014x_Flow_labeled.csv,2021-06-30 00:31:20.895
47576,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,55163,8.8.4.4,fa:16:3e:b5:c4:4c,fa:16:3e,53,17,4,0,0,1623969436551,1623969436566,15,2,248,1623969436551,1623969436551,0,1,100,1623969436566,1623969436566,0,1,148,100,124.0,33.94112549695428,148,100,100.0,0.0,100,148,148.0,0.0,148,15,15.0,0.0,15,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.UbuntuONE,Cloud,0,connectivity-check.ubuntu.com,,,,,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-17 22:37:16.551
2727,0,10.1.4.16,fa:16:3e:2d:c6:52,fa:16:3e,60746,91.189.92.19,fa:16:3e:6f:d7:ed,fa:16:3e,443,6,4,0,0,1625177223490,1625177229194,5704,19,7354,1625177223490,1625177229055,5565,11,2145,1625177223630,1625177229194,5564,8,5209,54,387.0526315789474,775.3173166649045,3044,66,195.0,323.00278636569067,1153,54,651.125,1122.0642249889263,3044,0,316.88888888888886,1169.9864196742722,4998,0,556.5,1562.4883466232104,4999,0,794.8571428571428,1855.048285855962,4999,2,0,0,0,16,8,2,2,1,0,0,0,10,4,0,1,1,0,0,0,6,4,2,1,TLS.UbuntuONE,Cloud,0,api.snapcraft.io,d3e1de2ca313c6c0a639f69cc3e924a4,699a80bdb17efe157c861f92c5bf5d1d,,,Normal,Benign,Benign,,net1014x_Flow_labeled.csv,2021-07-01 22:07:03.490
23630,0,10.1.2.21,fa:16:3e:e2:a0:54,fa:16:3e,57064,13.107.39.203,fa:16:3e:47:8b:b9,fa:16:3e,443,6,4,0,0,1625094974463,1625095100299,125836,17,7605,1625094974463,1625095064708,90245,8,1121,1625094974516,1625095100299,125783,9,6484,54,447.3529411764703,1340.825442646081,5621,54,140.125,182.4667777980419,571,54,720.4444444444446,1840.707208596136,5621,0,7864.750000000001,16980.744025709435,45012,0,12892.142857142857,21959.13396462143,45062,0,15722.875000000002,21865.57563475715,45065,2,0,0,0,16,5,1,0,1,0,0,0,7,2,0,0,1,0,0,0,9,3,1,0,TLS.Microsoft,Web,0,api.msn.com,cd08e31494f9531f560d64c695473da9,a66ea560599a2f5c89eec8c3a0d69cee,,,Normal,Benign,Benign,,net1012x_Flow_labeled.csv,2021-06-30 23:16:14.463
48422,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,38488,157.240.22.25,fa:16:3e:b5:c4:4c,fa:16:3e,443,6,4,0,0,1625076492716,1625076674792,182076,187,362313,1625076492716,1625076674769,182053,84,7647,1625076492739,1625076674792,182053,103,354666,54,1937.502673796792,2918.191151282404,8346,66,91.03571428571432,63.80116825394335,579,54,3443.359223300972,3229.235506730472,8346,0,978.9032258064516,7525.8582817556835,65008,0,2193.4096385542166,11189.045089965088,65076,0,1784.8333333333337,10124.406709016135,65009,2,0,0,0,183,75,3,2,1,0,0,0,83,11,0,1,1,0,0,0,100,64,3,1,TLS.Facebook,SocialNetwork,0,connect.facebook.net,9774c3c83bd55ff673e06df2c3837b91,f4febc55ea12b31ae17cfb7e614afda8,,,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-30 18:08:12.716
524,0,10.1.1.6,fa:16:3e:d9:a8:74,fa:16:3e,123,171.66.97.126,fa:16:3e:e5:11:55,fa:16:3e,123,17,4,0,0,1622196510300,1622196510319,19,2,180,1622196510300,1622196510300,0,1,90,1622196510319,1622196510319,0,1,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,19,19.0,0.0,19,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NTP,System,0,,,,,,Normal,Benign,Benign,,net1011x_Flow_labeled.csv,2021-05-28 10:08:30.300
16150,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,36752,52.27.87.210,fa:16:3e:b5:c4:4c,fa:16:3e,80,6,4,0,0,1625071036053,1625071096714,60661,19,18623,1625071036053,1625071096672,60619,10,1917,1625071036095,1625071096714,60619,9,16706,66,980.1578947368422,2585.709450532503,11250,66,191.7,262.9026224458191,691,66,1856.2222222222224,3650.34182569858,11250,0,3370.055555555556,14122.355950228965,59957,1,6735.444444444444,19974.38755075554,60000,1,7577.375,21164.745166954952,59957,2,0,0,0,18,4,0,2,1,0,0,0,9,2,0,1,1,0,0,0,9,2,0,1,HTTP.Amazon,Web,0,www.dataversity.net,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),text/html,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-06-30 16:37:16.053
31083,0,10.1.2.17,fa:16:3e:a2:d6:e6,fa:16:3e,35610,8.8.8.8,fa:16:3e:47:8b:b9,fa:16:3e,53,17,4,0,0,1625009391495,1625009391509,14,2,214,1625009391495,1625009391495,0,1,99,1625009391509,1625009391509,0,1,115,99,107.0,11.31370849898476,115,99,99.0,0.0,99,115,115.0,0.0,115,14,14.0,0.0,14,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Google,Web,0,googleads4.g.doubleclick.net,,,,,Normal,Benign,Benign,,net1012x_Flow_labeled.csv,2021-06-29 23:29:51.495
87370,0,10.1.1.11,fa:16:3e:2c:fe:de,fa:16:3e,33849,8.8.4.4,fa:16:3e:11:b8:2f,fa:16:3e,53,17,4,0,0,1625012483469,1625012483483,14,2,281,1625012483469,1625012483469,0,1,100,1625012483483,1625012483483,0,1,181,100,140.5,57.27564927611035,181,100,100.0,0.0,100,181,181.0,0.0,181,14,14.0,0.0,14,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Amazon,Web,0,d1zkz3k4cclnv6.cloudfront.net,,,,,Normal,Benign,Benign,,net1011x_Flow_labeled.csv,2021-06-30 00:21:23.469
65616,0,192.168.0.11,fa:16:3e:e6:67:36,fa:16:3e,49848,13.35.100.154,fa:16:3e:b5:c4:4c,fa:16:3e,443,6,4,0,0,1625245582177,1625245888481,306304,589,533517,1625245582177,1625245888468,306291,271,21529,1625245582190,1625245888481,306291,318,511988,66,905.8013582342952,1649.684021362361,7056,66,79.44280442804425,72.79644027389318,583,66,1610.0251572327045,1990.531732931368,7056,0,520.9251700680268,5538.64965411099,60338,0,1134.4111111111113,8138.986574878172,60338,0,966.2176656151416,7522.319314349045,60352,2,0,0,0,588,313,0,2,1,0,0,0,270,10,0,1,1,0,0,0,318,303,0,1,TLS.Amazon,Web,0,www.amazon.com,49e76101e93ff7ad65a47925a25c2cff,f4febc55ea12b31ae17cfb7e614afda8,,,Normal,Benign,Benign,,netgw_Flow_labeled.csv,2021-07-02 17:06:22.177
1470,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,54223,8.8.4.4,fa:16:3e:2b:10:fa,fa:16:3e,53,17,4,0,0,1625049444661,1625049444676,15,2,248,1625049444661,1625049444661,0,1,100,1625049444676,1625049444676,0,1,148,100,124.0,33.94112549695428,148,100,100.0,0.0,100,148,148.0,0.0,148,15,15.0,0.0,15,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.UbuntuONE,Cloud,0,connectivity-check.ubuntu.com,,,,,Normal,Benign,Benign,,net1013x_Flow_labeled.csv,2021-06-30 10:37:24.661
