Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage,__source_file
192.168.3.29-206.207.50.35-37752-443-6,192.168.3.29,37752,206.207.50.35,443,6,17/07/2019 09:15:31 PM,176,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11363.6363636,176.0,0.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,176.0,176.0,0.0,176.0,176.0,0,0,0,0,0,64,0.0,11363.6363636,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,235,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-wednesday.pcap_Flow.csv
192.168.3.29-8.8.8.8-33384-53-17,192.168.3.29,33384,8.8.8.8,53,17,18/07/2019 08:16:28 PM,40109,0,2,0.0,164.0,0.0,0.0,0.0,0.0,110.0,54.0,82.0,39.5979797464,4088.85786233,49.86412027229999,40109.0,0.0,40109.0,40109.0,0.0,0.0,0.0,0.0,0.0,40109.0,40109.0,0.0,40109.0,40109.0,0,0,0,0,0,16,0.0,49.86412027229999,54.0,110.0,72.6666666667,32.3316150746,1045.33333333,0,0,0,0,0,0,0,0,0.0,109.0,0.0,82.0,0,0,0,0,0,0,0,0,2,164,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-thursday.pcap_Flow.csv
192.168.3.29-52.46.134.16-35282-443-6,52.46.134.16,443,192.168.3.29,35282,6,18/07/2019 07:39:16 PM,73,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41095.890411,36.5,13.4350288425,46.0,27.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,20,40,13698.630137,27397.260274,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,343,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-public-thursday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9003-52808-6,206.207.50.50,52808,192.168.3.29,9003,6,17/07/2019 03:57:35 PM,54,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55555.5555556,27.0,21.2132034356,42.0,12.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,32,64,18518.5185185,37037.037037,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,235,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Directory Bruteforce,Establish Foothold,enp0s3-public-wednesday.pcap_Flow.csv
173.194.162.167-192.168.3.29-443-42510-6,173.194.162.167,443,192.168.3.29,42510,6,16/07/2019 05:19:16 PM,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.4444444,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,22222.2222222,22222.2222222,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9000-50308-6,192.168.3.29,9000,206.207.50.50,50308,6,16/07/2019 01:56:39 PM,46,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43478.2608696,46.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,64,0.0,43478.2608696,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,1444,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-192.168.3.34-9002-33310-6,192.168.3.34,33310,192.168.3.29,9002,6,18/07/2019 08:01:52 PM,63955037,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328355685261,3197751.85,7951859.53696,32507073.0,118.0,63954605.0,5329550.416669998,9839957.40238,32507073.0,460.0,63954734.0,9136390.57143,11702392.160999997,32507659.0,127.0,0,0,0,0,380,320,0.203267805161,0.125087880099,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,8,0,-1,28960,0,0,2374464.66667,4111830.01618,7122397.0,476.0,18943715.0,12399135.2573,32507073.0,8191514.0,Normal,Benign,enp0s3-public-thursday.pcap_Flow.csv
192.168.3.29-206.207.50.50-80-53252-6,206.207.50.50,53252,192.168.3.29,80,6,16/07/2019 01:27:10 PM,67,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29850.746268700004,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,67.0,67.0,0,0,0,0,0,64,0.0,29850.746268700004,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,252,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Network Scan,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
192.168.3.29-206.207.50.50-9000-46190-6,206.207.50.50,46190,192.168.3.29,9000,6,16/07/2019 01:25:43 PM,93,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21505.3763441,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,10752.688172,10752.688172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1444,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Network Scan,Reconnaissance,enp0s3-public-tuesday.pcap_Flow.csv
184.98.36.245-192.168.3.29-13918-9002-6,184.98.36.245,13918,192.168.3.29,9002,6,19/07/2019 06:46:28 PM,8063717,13,17,1881.0,28156.0,667.0,0.0,144.692307692,276.076796265,2904.0,0.0,1656.23529412,1266.90649465,3724.95711345,3.72036865877,278059.206897,1015731.82746,4960130.0,4.0,3086137.0,257178.083333,724471.117245,2535369.0,4.0,8063717.0,503982.3125,1362094.94837,4982040.0,19.0,0,0,0,0,260,364,1.61215975213,2.10820890664,0.0,2904.0,968.935483871,1216.50682792,1479888.86237,0,1,0,0,0,0,0,0,1.0,1001.23333333,144.692307692,1656.23529412,0,0,0,0,0,0,13,1881,17,28156,-1,260,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign,enp0s3-tcpdump-friday.pcap_Flow.csv
