multiple_label,No,Source,Destination,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,Protocol,tcp_flag,ICMP_Type,ICMP_Code,Info,User_Agent,Length,Delta_Time,Relative_Time,Absolute_Time,Cumu_Bytes,TTL,Status_Code,Status_Code_Description,Content_Type,Referer,Request_Method,Cookie,http_server,http_request_uri_query,http_request_uri_query_parameter,Connection,http_request_uri_path,http_request_full_uri,Content_Length,Response_Line,Request_Line,issuerNameHash,HTTP_Host,Server_Name,producedAt,thisUpdate,nextUpdate,Cipher_Suite,Cipher_Suites_Length,Cipher_Spec,Cipher_Spec_Length,Compression_Method,Handshake_Type,Handshake_Message_Length,Certificate_Status_Type,TLS_Version,TLS_Length,Challenge_Length,Extension_Type,Extension_Length,Extensions_Length,EC_point_format,EC_point_formats_Length,ALPN_Next_Protocol,ALPN_string_Length,Signature_Hash_Algorithm_Hash,Supported_Groups_List_Length,Supported_Group,Renegotiation_info_extension_Length,Request_URI,label
njRAT3,445697,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2188226956 Win=65535 Len=0,,54,0.192624,2898967.720192,1970-02-03 13:16:07.720212,214957241,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,21498,184.173.217.40,147.32.84.165,443.0,3409.0,,,TCP,0x014,,,"443  >  3409 [RST, ACK] Seq=0 Ack=2603290528 Win=0 Len=0",,60,0.011964,1628.744111,2011-08-15 16:44:14.095076,6007186,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,288633,147.32.84.165,184.173.217.40,8693.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 8693  >  443 [SYN] Seq=1928981583 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,29285.122131,2011-08-16 00:25:10.473096,91595031,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,389443,54.83.43.69,10.0.2.103,80.0,49333.0,,,HTTP,0x018,,,HTTP/1.1 200 OK ,,506,0.1063289999999999,2924167.4749310003,1970-02-03 20:16:07.474948,106938799,64,200.0,OK,application/octet-stream,,,,nginx,,,close,,,301.0,"Server: nginx\\r\\n,Date: Tue, 09 Dec 2014 11:06:07 GMT\\r\\n,Content-Type: application/octet-stream\\r\\n,Content-Length: 301\\r\\n,Connection: close\\r\\n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://pblbbmciknmzugtobmovhqsemyt.info/,malicious
njRAT3,435613,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2183807226 Ack=1952914996 Win=65535 Len=1030",,1084,2.798782,2837139.309994,1970-02-02 20:05:39.310014,209906481,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,172352,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2066612796 Win=65535 Len=0,,54,0.20343,1277670.726835,1970-01-15 18:54:30.726855,76216481,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,383034,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xd5e0c2 CID: 000100011751c3220800273c8dc9 ,,146,32.006407,2526435.602373,1970-01-30 05:47:15.602393,183117745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,459939,173.194.67.94,10.0.2.103,80.0,52247.0,,,TCP,0x010,,,80  >  52247 [ACK] Seq=1347666550 Ack=2628899065 Win=65535 Len=0,,54,8.4e-05,3465389.188757,1970-02-10 02:36:29.188774,126421277,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,227888,173.194.78.94,10.0.2.103,443.0,58908.0,,,SSLv3,0x010,,,Continuation Data,,1474,3.1e-05,1695813.264504,1970-01-20 15:03:33.264521,62297386,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,221065,147.32.84.165,184.173.217.40,2122.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 2122  >  443 [SYN] Seq=989213784 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.414141,16394.261856999998,2011-08-15 20:50:19.612822,82969471,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,304125,184.173.217.40,147.32.84.165,443.0,10244.0,,,TCP,0x014,,,"443  >  10244 [RST, ACK] Seq=0 Ack=692320718 Win=0 Len=0",,60,0.146226,32415.475725,2011-08-16 01:17:20.826690,93353701,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Virut2,344079,147.32.84.165,64.236.79.229,13290.0,80.0,,,TCP,0x010,,,13290  >  80 [ACK] Seq=2006987297 Ack=129674358 Win=64240 Len=0,,60,0.000243,39232.781443,2011-08-16 03:10:58.132408,97870987,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,150707,173.194.122.31,10.0.2.103,443.0,55260.0,,,SSLv3,0x010,,,Continuation Data,,1474,1.1e-05,1133190.299192,1970-01-14 02:46:30.299209,41940222,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,156861,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2059722096 Win=64505 Len=0,,54,0.206696,1187188.233086,1970-01-14 17:46:28.233106,68357731,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Virut2,178973,147.32.84.165,212.117.171.138,3004.0,65500.0,,,TLSv1,0x010,,,Ignored Unknown Record,,1514,0.000179,12573.859266,2011-08-15 19:46:39.210231,66517624,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Virut2,413605,147.32.84.165,64.236.79.229,20277.0,80.0,,,TCP,0x010,,,20277  >  80 [ACK] Seq=26427433 Ack=3789403040 Win=64240 Len=0,,60,0.000248,53081.224202,2011-08-16 07:01:46.575167,105088521,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,128347,184.173.217.40,147.32.84.165,443.0,3980.0,,,TCP,0x014,,,"443  >  3980 [RST, ACK] Seq=0 Ack=2809114361 Win=0 Len=0",,60,0.146316,8760.661887999999,2011-08-15 18:43:06.012853,47652099,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,174209,173.194.122.20,10.0.2.103,80.0,56218.0,,,HTTP,0x018,,,HTTP/1.1 302 Found  (text/html),,597,0.001392,1311377.551014,1970-01-16 04:16:17.551031,48318814,64,302.0,Found,text/html; charset=UTF-8,,,,GFE/2.0,,,close,,,258.0,"Cache-Control: private\\r\\n,Content-Type: text/html; charset=UTF-8\\r\\n,Location: http://www.google.cz/?gfe_rd=cr&ei=nDtuVPCUDeqk8wfcvYH4Ag\\r\\n,Content-Length: 258\\r\\n,Date: Thu, 20 Nov 2014 19:06:04 GMT\\r\\n,Server: GFE/2.0\\r\\n,Alternate-Protocol: 80:quic,p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.google.com/,malicious
njRAT3,111727,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2039675206 Ack=1952914996 Win=65535 Len=1030",,1084,2.802327,913238.462427,1970-01-11 13:40:38.462447,45467351,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,417113,184.173.217.40,147.32.84.165,443.0,20638.0,,,TCP,0x014,,,"443  >  20638 [RST, ACK] Seq=0 Ack=4270919814 Win=0 Len=0",,60,0.1461609999999999,53815.932187,2011-08-16 07:14:01.283152,105360498,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,287463,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2117624576 Win=64505 Len=0,,54,0.198699,1966328.402771,1970-01-23 18:12:08.402791,134445387,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,218425,147.32.84.165,173.192.170.88,1857.0,80.0,,,TCP,0x010,,,1857  >  80 [ACK] Seq=2362950167 Ack=634183393 Win=64240 Len=0,,60,0.000218,15853.636032,2011-08-15 20:41:18.986997,82736698,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,432102,10.0.2.103,54.83.43.69,51097.0,80.0,,,TCP,0x010,,,51097  >  80 [ACK] Seq=1051808026 Ack=886929863 Win=63788 Len=0,,54,0.0001909999999999,3251674.663614,1970-02-07 15:14:34.663631,118744841,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,222086,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2088662006 Ack=1952914996 Win=65535 Len=1030",,1084,2.806441,1581276.806931,1970-01-19 07:14:36.806951,101394639,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,422497,184.173.217.40,147.32.84.165,443.0,21184.0,,,TCP,0x014,,,"443  >  21184 [RST, ACK] Seq=0 Ack=2564854060 Win=0 Len=0",,60,0.146295,54898.09134400001,2011-08-16 07:32:03.442309,105917881,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,358492,10.0.2.103,203.45.203.83,,,1416.0,5732.0,UDP,,,,1416  >  5732 Len=97,,139,5.768879,2694680.717553,1970-02-01 04:31:20.717570,98578888,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,572611,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2244624606 Ack=1952914996 Win=65535 Len=1030",,1084,2.801573,3639498.666422,1970-02-12 02:58:18.666442,279283837,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
